i,j,k,facecolor
118,119,72,"rgb(255,0,0)"
80,79,126,"rgb(255,0,0)"
126,127,80,"rgb(255,0,0)"
73,72,119,"rgb(255,0,0)"
119,120,73,"rgb(255,0,0)"
66,88,113,"rgb(255,0,0)"
354,80,127,"rgb(255,0,0)"
74,73,120,"rgb(255,0,0)"
120,121,74,"rgb(255,0,0)"
67,66,113,"rgb(255,0,0)"
113,114,67,"rgb(255,0,0)"
75,74,121,"rgb(255,0,0)"
121,122,75,"rgb(255,0,0)"
119,118,133,"rgb(255,0,0)"
133,134,119,"rgb(255,0,0)"
127,126,141,"rgb(255,0,0)"
141,142,127,"rgb(255,0,0)"
120,119,134,"rgb(255,0,0)"
134,135,120,"rgb(255,0,0)"
113,89,128,"rgb(255,0,0)"
352,127,142,"rgb(255,0,0)"
121,120,135,"rgb(255,0,0)"
135,136,121,"rgb(255,0,0)"
114,113,128,"rgb(255,0,0)"
128,129,114,"rgb(255,0,0)"
122,121,136,"rgb(255,0,0)"
136,137,122,"rgb(255,0,0)"
115,114,129,"rgb(255,0,0)"
129,130,115,"rgb(255,0,0)"
123,122,137,"rgb(255,0,0)"
137,138,123,"rgb(255,0,0)"
116,115,130,"rgb(255,0,0)"
130,131,116,"rgb(255,0,0)"
124,123,138,"rgb(255,0,0)"
138,139,124,"rgb(255,0,0)"
117,116,131,"rgb(255,0,0)"
131,132,117,"rgb(255,0,0)"
125,124,139,"rgb(255,0,0)"
139,140,125,"rgb(255,0,0)"
118,117,132,"rgb(255,0,0)"
132,133,118,"rgb(255,0,0)"
126,125,140,"rgb(255,0,0)"
140,141,126,"rgb(255,0,0)"
138,137,152,"rgb(255,0,0)"
152,153,138,"rgb(255,0,0)"
131,130,145,"rgb(255,0,0)"
145,146,131,"rgb(255,0,0)"
139,138,153,"rgb(255,0,0)"
153,154,139,"rgb(255,0,0)"
132,131,146,"rgb(255,0,0)"
146,147,132,"rgb(255,0,0)"
140,139,154,"rgb(255,0,0)"
154,155,140,"rgb(255,0,0)"
