i,j,k,facecolor
415,92,445,"rgb(255,0,0)"
361,444,459,"rgb(255,0,0)"
432,430,452,"rgb(255,0,0)"
452,453,432,"rgb(255,0,0)"
418,415,445,"rgb(255,0,0)"
445,446,418,"rgb(255,0,0)"
434,432,453,"rgb(255,0,0)"
453,454,434,"rgb(255,0,0)"
419,418,446,"rgb(255,0,0)"
446,447,419,"rgb(255,0,0)"
436,434,454,"rgb(255,0,0)"
454,455,436,"rgb(255,0,0)"
422,419,447,"rgb(255,0,0)"
447,448,422,"rgb(255,0,0)"
437,436,455,"rgb(255,0,0)"
455,456,437,"rgb(255,0,0)"
453,452,467,"rgb(255,0,0)"
467,468,453,"rgb(255,0,0)"
446,445,460,"rgb(255,0,0)"
460,461,446,"rgb(255,0,0)"
454,453,468,"rgb(255,0,0)"
468,469,454,"rgb(255,0,0)"
447,446,461,"rgb(255,0,0)"
461,462,447,"rgb(255,0,0)"
455,454,469,"rgb(255,0,0)"
469,470,455,"rgb(255,0,0)"
448,447,462,"rgb(255,0,0)"
462,463,448,"rgb(255,0,0)"
456,455,470,"rgb(255,0,0)"
470,471,456,"rgb(255,0,0)"
449,448,463,"rgb(255,0,0)"
463,464,449,"rgb(255,0,0)"
457,456,471,"rgb(255,0,0)"
471,472,457,"rgb(255,0,0)"
450,449,464,"rgb(255,0,0)"
464,465,450,"rgb(255,0,0)"
458,457,472,"rgb(255,0,0)"
472,473,458,"rgb(255,0,0)"
451,450,465,"rgb(255,0,0)"
465,466,451,"rgb(255,0,0)"
459,458,473,"rgb(255,0,0)"
473,474,459,"rgb(255,0,0)"
452,451,466,"rgb(255,0,0)"
466,467,452,"rgb(255,0,0)"
445,101,460,"rgb(255,0,0)"
362,459,474,"rgb(255,0,0)"
472,471,486,"rgb(255,0,0)"
486,487,472,"rgb(255,0,0)"
465,464,479,"rgb(255,0,0)"
479,480,465,"rgb(255,0,0)"
473,472,487,"rgb(255,0,0)"
487,488,473,"rgb(255,0,0)"
466,465,480,"rgb(255,0,0)"
480,481,466,"rgb(255,0,0)"
474,473,488,"rgb(255,0,0)"
488,489,474,"rgb(255,0,0)"
467,466,481,"rgb(255,0,0)"
481,482,467,"rgb(255,0,0)"
460,102,475,"rgb(255,0,0)"
363,474,489,"rgb(255,0,0)"
468,467,482,"rgb(255,0,0)"
482,483,468,"rgb(255,0,0)"
461,460,475,"rgb(255,0,0)"
475,476,461,"rgb(255,0,0)"
469,468,483,"rgb(255,0,0)"
483,484,469,"rgb(255,0,0)"
462,461,476,"rgb(255,0,0)"
476,477,462,"rgb(255,0,0)"
470,469,484,"rgb(255,0,0)"
484,485,470,"rgb(255,0,0)"
463,462,477,"rgb(255,0,0)"
477,478,463,"rgb(255,0,0)"
471,470,485,"rgb(255,0,0)"
485,486,471,"rgb(255,0,0)"
464,463,478,"rgb(255,0,0)"
478,479,464,"rgb(255,0,0)"
476,475,490,"rgb(255,0,0)"
490,491,476,"rgb(255,0,0)"
484,483,498,"rgb(255,0,0)"
498,499,484,"rgb(255,0,0)"
477,476,491,"rgb(255,0,0)"
491,492,477,"rgb(255,0,0)"
485,484,499,"rgb(255,0,0)"
499,500,485,"rgb(255,0,0)"
478,477,492,"rgb(255,0,0)"
492,493,478,"rgb(255,0,0)"
486,485,500,"rgb(255,0,0)"
500,501,486,"rgb(255,0,0)"
479,478,493,"rgb(255,0,0)"
493,494,479,"rgb(255,0,0)"
487,486,501,"rgb(255,0,0)"
501,502,487,"rgb(255,0,0)"
480,479,494,"rgb(255,0,0)"
494,495,480,"rgb(255,0,0)"
488,487,502,"rgb(255,0,0)"
502,503,488,"rgb(255,0,0)"
481,480,495,"rgb(255,0,0)"
495,496,481,"rgb(255,0,0)"
489,488,503,"rgb(255,0,0)"
503,504,489,"rgb(255,0,0)"
482,481,496,"rgb(255,0,0)"
496,497,482,"rgb(255,0,0)"
475,103,490,"rgb(255,0,0)"
365,489,504,"rgb(255,0,0)"
483,482,497,"rgb(255,0,0)"
497,498,483,"rgb(255,0,0)"
495,494,509,"rgb(255,0,0)"
509,510,495,"rgb(255,0,0)"
503,502,517,"rgb(255,0,0)"
517,518,503,"rgb(255,0,0)"
496,495,510,"rgb(255,0,0)"
510,511,496,"rgb(255,0,0)"
504,503,518,"rgb(255,0,0)"
518,519,504,"rgb(255,0,0)"
497,496,511,"rgb(255,0,0)"
511,512,497,"rgb(255,0,0)"
490,104,505,"rgb(255,0,0)"
366,504,519,"rgb(255,0,0)"
498,497,512,"rgb(255,0,0)"
512,513,498,"rgb(255,0,0)"
491,490,505,"rgb(255,0,0)"
505,506,491,"rgb(255,0,0)"
499,498,513,"rgb(255,0,0)"
513,514,499,"rgb(255,0,0)"
492,491,506,"rgb(255,0,0)"
506,507,492,"rgb(255,0,0)"
500,499,514,"rgb(255,0,0)"
514,515,500,"rgb(255,0,0)"
493,492,507,"rgb(255,0,0)"
507,508,493,"rgb(255,0,0)"
501,500,515,"rgb(255,0,0)"
515,516,501,"rgb(255,0,0)"
494,493,508,"rgb(255,0,0)"
508,509,494,"rgb(255,0,0)"
502,501,516,"rgb(255,0,0)"
516,517,502,"rgb(255,0,0)"
514,513,528,"rgb(255,0,0)"
528,529,514,"rgb(255,0,0)"
507,506,521,"rgb(255,0,0)"
521,522,507,"rgb(255,0,0)"
515,514,529,"rgb(255,0,0)"
529,530,515,"rgb(255,0,0)"
508,507,522,"rgb(255,0,0)"
522,523,508,"rgb(255,0,0)"
516,515,530,"rgb(255,0,0)"
530,531,516,"rgb(255,0,0)"
509,508,523,"rgb(255,0,0)"
523,524,509,"rgb(255,0,0)"
517,516,531,"rgb(255,0,0)"
531,532,517,"rgb(255,0,0)"
510,509,524,"rgb(255,0,0)"
524,525,510,"rgb(255,0,0)"
518,517,532,"rgb(255,0,0)"
532,533,518,"rgb(255,0,0)"
511,510,525,"rgb(255,0,0)"
525,526,511,"rgb(255,0,0)"
519,518,533,"rgb(255,0,0)"
533,534,519,"rgb(255,0,0)"
512,511,526,"rgb(255,0,0)"
526,527,512,"rgb(255,0,0)"
505,105,520,"rgb(255,0,0)"
367,519,534,"rgb(255,0,0)"
513,512,527,"rgb(255,0,0)"
527,528,513,"rgb(255,0,0)"
506,505,520,"rgb(255,0,0)"
520,521,506,"rgb(255,0,0)"
533,532,547,"rgb(255,0,0)"
547,548,533,"rgb(255,0,0)"
526,525,540,"rgb(255,0,0)"
540,541,526,"rgb(255,0,0)"
534,533,548,"rgb(255,0,0)"
548,549,534,"rgb(255,0,0)"
527,526,541,"rgb(255,0,0)"
541,542,527,"rgb(255,0,0)"
520,106,535,"rgb(255,0,0)"
338,534,549,"rgb(255,0,0)"
528,527,542,"rgb(255,0,0)"
542,543,528,"rgb(255,0,0)"
521,520,535,"rgb(255,0,0)"
535,536,521,"rgb(255,0,0)"
529,528,543,"rgb(255,0,0)"
543,544,529,"rgb(255,0,0)"
522,521,536,"rgb(255,0,0)"
536,537,522,"rgb(255,0,0)"
530,529,544,"rgb(255,0,0)"
544,545,530,"rgb(255,0,0)"
523,522,537,"rgb(255,0,0)"
537,538,523,"rgb(255,0,0)"
531,530,545,"rgb(255,0,0)"
545,546,531,"rgb(255,0,0)"
524,523,538,"rgb(255,0,0)"
538,539,524,"rgb(255,0,0)"
532,531,546,"rgb(255,0,0)"
546,547,532,"rgb(255,0,0)"
525,524,539,"rgb(255,0,0)"
539,540,525,"rgb(255,0,0)"
545,544,554,"rgb(255,0,0)"
554,5,545,"rgb(255,0,0)"
538,537,0,"rgb(255,0,0)"
0,552,538,"rgb(255,0,0)"
546,545,5,"rgb(255,0,0)"
5,555,546,"rgb(255,0,0)"
539,538,552,"rgb(255,0,0)"
552,1,539,"rgb(255,0,0)"
547,546,555,"rgb(255,0,0)"
555,556,547,"rgb(255,0,0)"
540,539,1,"rgb(255,0,0)"
1,553,540,"rgb(255,0,0)"
548,547,556,"rgb(255,0,0)"
556,557,548,"rgb(255,0,0)"
541,540,553,"rgb(255,0,0)"
553,2,541,"rgb(255,0,0)"
549,548,557,"rgb(255,0,0)"
557,558,549,"rgb(255,0,0)"
542,541,2,"rgb(255,0,0)"
2,3,542,"rgb(255,0,0)"
535,108,550,"rgb(255,0,0)"
364,549,558,"rgb(255,0,0)"
543,542,3,"rgb(255,0,0)"
3,4,543,"rgb(255,0,0)"
536,535,550,"rgb(255,0,0)"
550,551,536,"rgb(255,0,0)"
544,543,4,"rgb(255,0,0)"
4,554,544,"rgb(255,0,0)"
537,536,551,"rgb(255,0,0)"
551,0,537,"rgb(255,0,0)"
